"Part name","Quantity",
"PRD-0201-1xxx-AT1X","1",
"M-0201-1201-Shaft 2","2",
"M-0201-1202-Small Cap","4",
"M-0201-1203-Rod","3",
"M-0201-1204-Shaft 1","2",
"M-0201-1205-Big Cap","2",
"C-0201-01_1206_AW 61902-2RS1","8",
"C-0201-1206-Bearing_AW_61902_2RS1","8",
"E-LIB-SCR-FHC_M5x16_DIN7991_INOX_A4","6",
"M-0201-1207-Tube_base","1",
"C-0201-1208-ROSE_KRIEGER-903031","1",
"M-0201-1209-Upper_rod_stop_joint_1","1",
"M-0201-1210-Lower_rod_stop_joint_1","1",
"M-0201-1211-Upper_rod_stop_joint_2","1",
"M-0201-1212-Lower_rod_stop_joint_2","1",
"M-0201-1213-HITTING_PART","1",
"M-0201-1214-Rubber_stop","4",
"E-LIB-SCR-FHC_M4x18","6",
"E-LIB-SCR-TCHC_TB_M4x8","7",
"M-0201-1301-tube1","1",
"M-0201-1302-Interface_kinova_1","1",
"_molex_43650-0800_5F7C8ABC[2]","1",
"_molex_43650-0800_5F7C88DC[2]","1",
"_1_5F7D81D6[2]","1",
"_1_5F7C8968[2]","1",
"Pcb_6739","1",
"L-0201-0001-cap","1",
"E-LIB-SCR-FHC_M3x10","4",
"C-0201-01_1306_FLAT_WIRE","1",
"E-LIB-SCR-FHC_M4x16","6",
"C-0201-1305-Molex 43645-0800","1",
"D2F_01L2_D_ACTUATOR","1",
"D2F_01L2_D_BASE","1",
"M-0201-1307-Microswitch_cage_1","1",
"M-0201-1307-Microswitch_cage_2","1",
"E-LIB-SCR-TCHC_M2x5","4",
"ASM-0201-14xx-link_2","1",
"X-0201-1404-KINOVA_K-75+","1",
"M-0201-1402-tube2","1",
"M-0201-1401-Interface_kinova_2","1",
"L-0201-0001-cap","1",
"T-0201-1403-tip_gluing_tool","1",
"E-LIB-SCR-FHC_M3x10","4",
"E-LIB-SCR-FHC_M4x16","6",
"ASM-0201-15xx-orthosis_joint","1",
"M-0201-1501-glued_insert","1",
"M-0201-1502-configurable_interface","1",
"M-0201-1503-revolute_interface","1",
"E-LIB-SCR-TCHC_M10x100","1",
"C-0201-1505-igus_JFM_0608_08_1","2",
"M-0201-1504-Orthosis pivot plug","1",
"ASM-0201-11xx_B-Wheelchair_fixation","1",
"M-0201-1101-Tube support","2",
"C-0201-1102-Tube connector","2",
"M-0201-1103-Clamping slide","4",
"E-LIB-SCR-TCHC_M4x12","8",
"E-LIB-SCR-TCHC_M6x18","8",
"E-LIB-WAS-Washer_M6","8",
"M-0201-1104-Fixation tube","1",
"M-0201-1105-Clamps support","1",
"E-LIB-WAS-Washer_M5","2",
"E-LIB-SCR-TCHC_M5x12","2",
"E-LIB-SCR-TCHC_M8x12","2",
"E-LIB-WAS-Washer_M8","2",
"Aluminium rail","1",
"AT1X axe","1",
"C-0201-1106-Stop_ring","1",
"C-0201-1107-Clamping_lever","1",
"C-0201-1108-Spacer D6,3 L10","1",
"C-0201-1106-Stop_ring v3(Mirror)","1",
"C-0201-1107-Clamping_lever v2(Mirror)","1",
"C-0201-1108-Spacer D6,3 L10 v1(Mirror)","1",
"E-LIB-WAS-Washer_M5 v1(Mirror)","2",
"E-LIB-SCR-TCHC_M5x12 v2(Mirror)","2",
"ASM-0201-16xx-orthosis_right interface","1",
"E-0201-LIB-SCR-M6x40_axle_screw","1",
"M-0201-1601-orthosis_interface_support","1",
"E-0201-SCR-M5_INSERT_BRASS","4",
"M-0201-1602-Contact_surface","1",
"M-0201-1603-Elbow_support_rail","1",
"M-0201-1605-Elbow_support","1",
"E-LIB-SCR-M6x16_axle_screw","1",
"M-0201-1604-Shoulder_screw_wheel","1",
"E-0201-LIB-SCR-M6x40_axle_screw","1",
"C-0201-1606-Pin D4","1",
"E-LIB-SCR-FHC_M3x10","1",
"C-0201-1606-Pin D4","1",
"C-0201-1611-Top strap","1",
"C-0201-1612-Closing clip","1",
"C-0201-1608-Plain bearing JFM_0608_04_1","4",
"C-0201-1610-Low Velcro strap","2",
"C-0201-1613-Textile orthosis","1",
"C-0201-1611-Top strap","1",
"C-0201-1612-Closing clip","1",
"E-LIB-SCR-TCHC_M5x20","1",
"M-0201-1609-Screw wheel TCHC M5","1",
"C-0201-1607-Spring T_18856R","1",
"E-LIB-SCR-FHC_M3x10","1",
"E-LIB-SCR-FHC_M3x5","1",
